id,titolo_originale,titolo,anno,genere,durata,paese,voto_medio,voto_critica,voto_pubblico,voti_totali,humor,ritmo,impegno,tensione
70847,Hautoa,The Dead Lands - La vendetta del guerriero,2014,Drammatico,108,"Nuova Zelanda, Gran Bretagna",4.7,,5,18,2,3,0,2
70849,Qin Ai De Xiao Hai,Dearest,2014,Drammatico,135,"Hong Kong, Cina",4.3,2.0,7,3,0,0,0,0
70857,Ned Rifle,Ned Rifle,2014,Drammatico,85,USA,7.1,7.5,7,5,0,0,0,0
70859,Chuangru Zhe,Red Amnesia,2014,Thriller,110,Cina,6.5,7.0,6,4,0,0,0,0
70861,Top Five,Top Five,2014,Commedia,101,USA,6.1,7.0,5,10,1,1,1,0
70873,Italy in a Day - Un giorno da italiani,Italy in a Day - Un giorno da italiani,2014,Documentario,75,Italia,5.1,4.8,5,48,3,4,3,3
70885,Ghesseha,Tales,2014,Drammatico,88,Iran,6.8,6.75,,4,0,2,4,3
70887,Belye nochi pochtalona Alekseya Tryapitsyna,The Postman's White Nights,2014,Drammatico,101,Russia,7.6,7.83,7,14,0,1,1,1
70888,Sivas,Sivas,2014,Drammatico,93,Turchia,5.7,3.67,8,6,0,1,1,1
70890,The Look of Silence,The Look of Silence,2014,Documentario,98,Danimarca,7.6,7.9,7,42,1,2,4,3
70892,Nobi,Fires on the Plain,2014,Drammatico,87,Giappone,7.2,7.25,7,18,0,1,1,1
70894,La zuppa del demonio,La zuppa del demonio,2014,Documentario,75,Italia,6.7,7.0,6,18,0,2,0,0
70896,The Sound and the Fury,L'urlo e il furore,2014,Drammatico,101,USA,7.0,7.33,7,6,0,0,0,0
70902,Im Keller,In the Basement,2014,Documentario,82,Austria,6.9,7.22,7,24,2,1,3,0
70903,Theeb,Theeb,2014,Avventura,100,"Emirati Arabi Uniti, Qatar, Giordania, Gran Bretagna",7.4,7.4,7,12,0,0,0,0
70905,Kreditis Limiti,Line of Credit,2014,,125,"Georgia, Germania, Francia",6.3,6.5,6,4,0,0,0,0
70906,Io sto con la sposa,Io sto con la sposa,2014,Documentario,89,"Italia, Palestina",6.6,6.67,7,26,2,3,4,3
70910,Jayuui Eondeok,La collina della libertà,2014,Drammatico,67,Corea del Sud,6.4,6.5,6,18,1,1,1,1
70911,Nabat,Nabat,2014,Drammatico,105,Azerbaijan,8.4,8.0,9,7,0,0,0,0
70912,Heaven Knows What,Heaven Knows What,2014,Drammatico,94,"USA, Francia",6.8,7.0,7,11,0,0,0,0
70914,Takva su pravila,These Are the Rules,2014,Drammatico,75,"Croazia, Francia, Serbia, Macedonia",6.3,6.5,6,3,0,0,0,0
70916,Court,Court,2014,Drammatico,116,India,6.3,7.33,5,9,0,0,0,0
70921,Giulio Andreotti - Il cinema visto da vicino,Giulio Andreotti - Il cinema visto da vicino,2014,Documentario,94,Italia,6.4,8.0,5,5,1,2,2,0
70925,Altman,Altman,2014,Documentario,95,Canada,6.7,6.67,7,27,0,1,3,0
70929,Scents and Sensibility,Una lozione d'amore,2011,Drammatico,90,USA,4.6,,5,5,1,1,0,0
70941,Spuren des Bösen: Zauberberg,Richard Brock - Nessuno è senza colpa,2013,Thriller,89,"Austria, Germania",2.7,,3,3,0,0,0,0
70952,A Napoli non piove mai,A Napoli non piove mai,2015,Commedia,90,Italia,4.6,4.5,5,36,2,2,0,0
70958,The Gambler,The Gambler,2014,Thriller,110,USA,5.3,5.25,5,42,0,2,3,2
70960,Gods of Egypt,Gods of Egypt,2016,Avventura,127,USA,3.8,3.0,5,96,1,2,0,1
70967,Slovenka,A call girl,2009,Drammatico,90,"Slovenia, Germania, Serbia, Croazia, Bosnia Herzegovina",6.3,,6,3,0,0,0,0
70998,Heaven Adores You,Elliott Smith - Il cielo ti ama,2014,Documentario,104,USA,4.3,3.0,6,6,0,0,0,0
71007,"Mune, le gardien de la lune",Mune - Il guardiano della luna,2015,Animazione,86,Francia,6.3,6.5,6,38,2,3,1,1
71045,Un Natale stupefacente,Un Natale stupefacente,2014,Commedia,100,Italia,4.1,3.71,4,59,2,2,0,0
71054,Lo strangolatore di Vienna,Lo strangolatore di Vienna,1971,Horror,83,Italia,3.6,3.0,4,8,0,0,0,0
71056,Materiale per Hellas,Materiale per Hellas,2011,Documentario,47,Italia,5.3,7.0,4,3,0,0,0,0
71064,Musarañas,Shrew's Nest,2014,Drammatico,91,Spagna,6.9,7.25,6,17,0,0,0,0
71066,Spring,Spring - L'amore è un mostro,2014,Horror,105,"USA, Italia",5.5,5.4,6,53,1,1,0,1
71071,Wacken 3D,Wacken 3D,2014,Documentario,90,Germania,6.7,7.0,6,7,1,4,0,0
71073,Saphirblau,Ruby Red 2 - Il segreto di Zaffiro,2014,Fantasy,116,Germania,4.5,,5,12,0,0,0,0
71075,Not Safe for Work,Senza uscita,2014,Thriller,74,USA,5.3,6.33,4,12,0,1,0,1
71077,The Sea of Trees,La foresta dei sogni,2015,Drammatico,110,"USA, Giappone",6.0,6.13,6,91,0,2,2,1
71087,"Ailano, la tradizione","Ailano, la tradizione",2005,Documentario,53,Italia,5.8,5.5,6,3,0,2,2,0
71106,Katie Fforde - Eine teure Affäre,Katie Fforde - Le due eredità,2013,Drammatico,89,Germania,3.2,,3,5,0,0,0,0
71109,Breaking Point,Breaking Point,2009,Azione,93,USA,3.5,,4,6,0,0,0,0
71118,Strella,Strella,2009,Drammatico,111,Grecia,6.3,5.5,7,3,0,0,0,0
71122,Ghost Town,Ghost Town - La città fantasma,2009,Horror,85,USA,3.7,,4,11,0,0,0,1
71123,247°F,247°F,2011,Horror,88,"USA, Isole Gilbert ed Ellice",4.5,,5,4,0,0,0,0
71125,Inga Lindström: Schatten der Vergangenheit,Inga Lindström: Un amore impossibile,2010,Drammatico,89,Germania,5.0,,5,3,0,0,0,0
71132,ABCs of Death 2,ABCs of Death 2,2014,Horror,125,"USA, Nuova Zelanda, Canada, Israele, Giappone",5.7,6.0,5,18,1,2,1,1
71140,Fievre,Horsehead,2014,Horror,89,Francia,4.7,,5,3,0,0,0,0
71142,El Incidente,The Incident,2014,Fantascienza,100,Messico,5.6,5.0,6,18,0,0,0,0
71146,Wyrmwood,Road of the Dead - Wyrmwood,2014,Azione,92,Australia,5.0,4.5,6,22,2,2,0,2
71149,Operation Rogue,Missione suicida,2014,Azione,85,USA,2.9,3.0,3,5,0,2,0,2
71152,Ritratti: Mario Rigoni Stern,Ritratti: Mario Rigoni Stern,1999,Documentario,55,Italia,8.0,8.0,8,3,0,0,0,0
